NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Jon,Leuer,PF,31,15,20.7,9,1.2,4.7,5.9,1.2,0.65,0.35,1,2,1.3,16.5,3.7,7.6,0.487,0.8,1.9,0.4,0.8,1.1,0.69,2.9,5.7,0.517,1.178,0.54
Jonas,Jerebko,PF,29,0,12.9,3.1,0.9,1.9,2.8,0.9,0.21,0.17,0.7,1.7,1.2,7.2,1.1,3,0.364,0.3,0.8,0.417,0.6,0.7,0.84,0.8,2.2,0.344,1.023,0.42
Jonas,Valanciunas,C,14,14,27.3,12.7,3,6.3,9.3,0.4,0.29,0.71,1.6,2.6,0.3,20,4.9,8.9,0.556,0,0,0,2.9,3.7,0.77,4.9,8.9,0.556,1.435,0.56
Jonathon,Simmons,SG,16,0,13.3,6.1,0.3,1.6,1.9,1.4,0.44,0,1.1,1.8,1.2,15,2,4.1,0.492,0.4,0.9,0.467,1.6,1.9,0.84,1.6,3.2,0.5,1.492,0.55
Jordan,Adams,SG,2,0,7.5,3.5,0,1,1,1.5,1.5,0,1,1,1.5,17.7,1,3,0.333,0,0.5,0,1.5,2.5,0.6,1,2.5,0.4,1.167,0.33
Jordan,Clarkson,PG,27,27,32,14.9,1,2.9,3.9,2.1,1.22,0.15,1.8,1.8,1.2,14.7,6,13.1,0.458,1.1,3.2,0.36,1.7,2.2,0.78,4.9,9.9,0.489,1.136,0.5
Jordan,Hill,C,26,3,23.1,10,3,4.9,7.9,1.3,0.73,0.31,1.2,2.5,1,18.7,4.2,8.3,0.498,0,0,0,1.7,2.2,0.75,4.2,8.3,0.5,1.194,0.5
Jordan,Mickey,PF,3,0,2,2.3,0.7,0.3,1,0.3,0,0.33,0,0.3,0,68.9,0.7,1,0.667,0,0,0,1,1,1,0.7,1,0.667,2.333,0.67
Jose,Calderon,PG,30,30,26.6,7.1,0.3,2.6,2.9,3.8,0.87,0.03,1.1,1.6,3.5,12.7,2.6,5.8,0.454,1.1,3,0.371,0.7,0.8,0.88,1.5,2.8,0.541,1.224,0.55
Josh,McRoberts,PF,20,0,15.6,3.3,0.8,2.2,3,1.8,0.5,0.15,0.9,1.7,2.1,9.9,1.2,3,0.4,0.2,1.1,0.136,0.8,1.1,0.68,1,1.9,0.553,1.1,0.43
