NAME-F,PLAYER,POS,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,PER,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,PPS,AFG%
Aaron,Brooks,PG,18,0,15.3,8.1,0.6,1.4,1.9,2.2,0.28,0.22,0.9,1.9,2.5,16.2,2.9,7.2,0.411,1.2,3.2,0.368,1.1,1.2,0.86,1.7,4,0.444,1.132,0.49
Aaron,Gordon,PF,28,0,18.6,6.9,1.6,3,4.6,1.2,0.71,0.79,0.9,2,1.3,16.6,2.6,5.6,0.462,0.4,1.3,0.333,1.3,1.9,0.69,2.2,4.3,0.5,1.237,0.5
Aaron,Harrison,SG,5,0,4.6,1.4,0.2,0.6,0.8,0,0.2,0,0.2,0,0,12.1,0.4,0.6,0.667,0.2,0.2,1,0.4,1.2,0.33,0.2,0.4,0.5,2.333,0.83
Adreian,Payne,PF,21,2,9.8,2.7,0.4,2,2.5,0.5,0.24,0.19,0.8,1.8,0.6,6.7,1.1,2.6,0.418,0.2,0.6,0.417,0.3,0.4,0.75,0.9,2,0.419,1.036,0.46
Al,Horford,C,31,31,31.3,15,2,4.9,6.9,2.9,0.77,1.39,1.5,1.9,2,19.3,6.3,13.1,0.484,1,3,0.319,1.4,1.7,0.83,5.3,10.1,0.534,1.151,0.52
Al,Jefferson,C,17,17,26.2,13.7,1.3,5.1,6.4,1.8,0.76,1.06,0.7,2.3,2.5,19.7,6.2,12.4,0.5,0,0,0,1.4,2.2,0.61,6.2,12.4,0.5,1.11,0.5
Al-Farouq,Aminu,SF,31,31,30.2,10.9,1.3,5.6,6.9,1.6,0.81,0.65,1.8,2.4,0.9,12.2,3.8,9.5,0.403,1.6,4.2,0.377,1.6,2.2,0.74,2.2,5.3,0.424,1.142,0.49
Alec,Burks,SG,27,3,27.5,14.4,0.6,3,3.6,2.1,0.56,0.15,1.7,2.5,1.3,14.9,4.7,11.9,0.4,1,2.7,0.378,3.9,5.1,0.76,3.7,9.2,0.407,1.219,0.44
Alex,Len,C,31,12,18.8,7.3,1.9,4,5.9,0.7,0.58,0.9,1.4,2.2,0.5,15.5,2.7,5.7,0.483,0,0.1,0.333,1.8,2.5,0.7,2.7,5.6,0.486,1.284,0.49
Alexis,Ajinca,C,21,6,12.8,5.2,1.2,2.8,4,0.3,0.19,0.48,0.7,2.3,0.5,14.3,2.4,4.7,0.515,0,0,0,0.4,0.4,0.89,2.4,4.7,0.515,1.111,0.52
Allen,Crabbe,SF,31,2,24.7,10.2,0.3,2,2.3,1.1,0.68,0.13,0.9,2.4,1.3,12.1,4,8.5,0.466,1.2,3.4,0.346,1.1,1.3,0.8,2.8,5.1,0.544,1.193,0.53
Alonzo,Gee,SF,28,20,21.5,4.1,0.7,2.3,3,1,0.96,0.21,0.9,2.7,1.2,8,1.8,3.3,0.527,0.3,0.9,0.333,0.3,0.4,0.8,1.5,2.4,0.594,1.226,0.57
Amar'e,Stoudemire,PF,3,0,9,4.3,1,1,2,0.3,0,0.33,0.3,0.7,1,21.1,1.7,3,0.556,0,0,0,1,1.3,0.75,1.7,3,0.556,1.444,0.56
Amir,Johnson,PF,27,24,23.4,7.5,1.8,3.9,5.7,1.6,0.7,1.26,1.4,2.7,1.1,14.4,3.2,5.9,0.541,0.3,1,0.269,0.9,1.6,0.56,2.9,4.9,0.594,1.277,0.56
Anderson,Varejao,PF,22,0,8.7,2.1,0.7,1.8,2.5,0.5,0.23,0.14,0.4,0.9,1.1,10.4,0.8,2,0.4,0,0,0,0.5,0.6,0.77,0.8,2,0.409,1.022,0.4
Andre,Drummond,C,30,30,35.1,18.2,5.5,10.5,16.1,1,1.9,1.53,2.3,3.2,0.4,23.8,7.7,14.7,0.523,0,0.1,0.5,2.8,7.5,0.38,7.7,14.6,0.523,1.241,0.52
Andre,Iguodala,SF,28,0,27.8,7.6,1.1,3.5,4.6,3.5,1.46,0.29,1.1,1.6,3,14.3,3,6.2,0.491,1,2.6,0.403,0.5,0.8,0.65,2,3.6,0.554,1.237,0.58
Andre,Miller,PG,15,0,12.5,3.9,0.3,0.7,1.1,2.7,0.6,0,0.9,1.7,2.9,15.4,1.6,2.7,0.585,0.1,0.1,0.5,0.6,0.8,0.75,1.5,2.6,0.59,1.415,0.6
Andre,Roberson,SG,28,28,22.5,4.9,1.1,2.3,3.4,0.8,0.86,0.68,0.7,1.8,1.2,10.4,2,4.3,0.479,0.4,1.6,0.267,0.4,0.8,0.57,1.6,2.7,0.608,1.16,0.53
Andrea,Bargnani,C,25,0,15.2,8,0.8,1.8,2.7,0.3,0.08,0.24,0.8,1.7,0.3,12.7,3.2,7.3,0.445,0.1,0.5,0.167,1.4,1.7,0.84,3.1,6.8,0.465,1.099,0.45
Andrew,Bogut,C,21,17,19.8,5.6,1.7,5.3,7,2.3,0.38,1.76,1.1,3,2,17.6,2.6,4.1,0.64,0,0,0,0.4,0.9,0.44,2.6,4.1,0.64,1.372,0.64
Andrew,Nicholson,PF,20,0,18.7,8.2,0.8,3.6,4.4,0.2,0.25,0.45,1.1,1.6,0.2,13.6,3.1,6.8,0.459,1,2.4,0.417,1,1.2,0.87,2.1,4.4,0.483,1.215,0.53
Andrew,Wiggins,SG,28,28,34.7,20.9,1.5,2.1,3.6,1.7,0.57,0.64,2.3,2.2,0.7,16.1,7.2,16.6,0.433,0.6,2.6,0.25,5.8,7.6,0.76,6.6,14,0.467,1.253,0.45
Anthony,Bennett,PF,10,0,5.8,1.9,0.5,1.2,1.7,0,0.3,0,0.4,0.8,0,8.1,0.5,1.9,0.263,0.2,1.1,0.182,0.7,0.8,0.88,0.3,0.8,0.375,1,0.32
Anthony,Brown,SF,7,1,9.3,1.6,0.1,0.4,0.6,0.6,0.57,0,0.4,0.7,1.3,0.5,0.6,2.9,0.2,0.1,1.6,0.091,0.3,0.3,1,0.5,1.3,0.333,0.55,0.23
Anthony,Davis,PF,25,25,35.8,23.4,1.9,8.8,10.8,1.4,1.24,2.72,2.2,2.4,0.7,25.1,8.6,17.6,0.49,0.5,1.7,0.302,5.6,7.3,0.76,8.1,15.9,0.51,1.324,0.5
Anthony,Morrow,SG,27,4,15.6,5.4,0.2,0.9,1.1,0.4,0.48,0.07,0.3,0.8,1.2,9.9,2,5,0.393,1.1,2.9,0.397,0.3,0.3,0.89,0.9,2.1,0.386,1.074,0.51
Anthony,Tolliver,PF,29,0,20.2,4.6,0.6,2.9,3.5,0.8,0.45,0.28,0.3,1.3,3,8.8,1.6,4.5,0.344,1.2,3.6,0.34,0.3,0.5,0.53,0.4,0.9,0.357,1.015,0.48
Archie,Goodwin,SG,15,0,11.2,5.1,0.1,2.1,2.2,0.9,0.27,0.07,0.9,0.6,1,14,1.7,3.4,0.51,0.1,0.8,0.167,1.5,2.8,0.55,1.6,2.6,0.615,1.51,0.53
Aron,Baynes,C,29,0,13.4,4.6,1.6,2.4,4,0.7,0.28,0.38,0.9,1.7,0.8,13.5,1.9,4.2,0.455,0,0,0,0.8,1.2,0.67,1.9,4.2,0.458,1.107,0.45
Arron,Afflalo,SG,22,22,31,13.8,0.4,3.6,4,1.8,0.23,0.14,1,2.3,1.9,13.7,5.6,11.8,0.479,1.1,3.5,0.325,1.4,1.7,0.82,4.5,8.3,0.544,1.174,0.53
Austin,Rivers,PG,28,5,22.1,7,0.5,1.5,2,1.3,0.71,0.18,0.9,2.1,1.3,8,2.8,6.8,0.408,0.5,2.4,0.212,1,1.5,0.64,2.3,4.4,0.512,1.031,0.45
Avery,Bradley,PG,27,23,31.8,15.4,0.4,1.9,2.4,1.9,1.56,0.3,1.6,2.2,1.2,14.3,5.9,13.2,0.448,2.4,5.9,0.405,1.2,1.5,0.8,3.5,7.3,0.482,1.165,0.54
Ben,McLemore,SG,29,23,21.6,7.9,0.5,1.7,2.2,1.1,0.97,0.14,1.4,2,0.8,10.7,2.9,6.3,0.464,0.9,2.3,0.409,1.1,1.4,0.78,2,4,0.496,1.251,0.54
Beno,Udrih,PG,21,1,14.07142857,4.661904762,0.238095238,1.147619048,1.347619048,2.185714286,0.237619048,0.04952381,1.028571429,1.214285714,2.028571429,11.26666667,1.942857143,4.19047619,0.482666667,0.314285714,0.904761905,0.293428571,0.461904762,0.523809524,0.925714286,1.628571429,3.285714286,0.530666667,1.159428571,0.517142857
Bismack,Biyombo,C,30,16,24,5.4,2.7,6.2,8.9,0.2,0.23,1.37,1.1,2.9,0.2,12.8,1.8,3.9,0.458,0,0,0,1.8,2.6,0.67,1.8,3.9,0.458,1.364,0.46
Blake,Griffin,PF,29,29,34.9,23.6,1.6,7,8.6,4.9,0.69,0.55,2.2,2.8,2.2,24.4,9.5,18.5,0.512,0.2,0.6,0.375,4.4,6.1,0.73,9.3,17.9,0.516,1.274,0.52
Boban,Marjanovic,C,15,1,5.4,3.7,0.9,1.1,2.1,0.2,0.13,0.27,0.5,0.9,0.4,28.5,1.4,2.3,0.618,0,0,0,0.9,1.3,0.68,1.4,2.3,0.618,1.618,0.62
Bobby,Portis,PF,6,0,10.7,7.8,1,1.8,2.8,0.5,0.67,0.17,0.8,0.8,0.6,22.5,3.5,7.3,0.477,0.3,0.8,0.4,0.5,1,0.5,3.2,6.5,0.487,1.068,0.5
Bojan,Bogdanovic,SG,29,10,26.7,9.3,0.4,2.9,3.3,0.9,0.62,0.03,1.2,1.3,0.8,10,3.7,8.2,0.451,1.3,3.6,0.369,0.7,1,0.66,2.4,4.6,0.515,1.143,0.53
Boris,Diaw,C,30,0,18.8,5.9,0.8,2.6,3.4,2.5,0.33,0.27,1.2,1.4,2,13.5,2.5,4.9,0.514,0.3,0.9,0.357,0.5,0.8,0.67,2.2,4,0.55,1.203,0.55
Bradley,Beal,SG,17,17,36.5,19.8,0.9,3.8,4.7,3.2,1.12,0.35,3,2.5,1.1,14.6,7.4,16.9,0.438,2.2,5.6,0.389,2.8,3.6,0.76,5.2,11.3,0.461,1.167,0.5
Brandan,Wright,PF,7,0,17.1,6.6,0.9,2.6,3.4,0.6,0.14,1.43,0.6,1.3,1,17.8,2.6,4.3,0.6,0,0,0,1.4,2.6,0.56,2.6,4.3,0.6,1.533,0.6
Brandon,Bass,PF,24,0,15.6,5.5,1.6,2.5,4.2,0.8,0.21,0.67,0.7,1.6,1.3,17.2,2.3,4.1,0.556,0,0,0,0.9,1,0.84,2.3,4.1,0.561,1.323,0.56
Brandon,Knight,PG,31,30,35.7,19.8,0.8,3.2,4,5.2,1.42,0.35,3.3,2.2,1.6,17.3,7.2,16.6,0.432,2.3,6.5,0.351,3.1,3.7,0.83,4.9,10.1,0.484,1.188,0.5
Brandon,Rush,SF,20,12,14.9,5.2,0.5,2.4,2.9,0.8,0.2,0.25,0.6,0.6,1.3,12.9,1.9,4,0.468,1.2,2.4,0.5,0.3,0.5,0.6,0.7,1.6,0.419,1.316,0.62
Brian,Roberts,PG,13,0,7.6,2.2,0.1,0.9,1,1,0.23,0,0.4,0.3,2.6,8.9,0.9,2.5,0.375,0.2,0.4,0.4,0.2,0.2,0.67,0.7,2.1,0.37,0.875,0.41
Brook,Lopez,C,29,29,33.6,19.1,2.9,5.2,8.1,1.6,0.66,2,2.4,3.2,0.7,20.4,7.6,15.6,0.488,0,0.1,0,3.9,4.9,0.8,7.6,15.5,0.492,1.228,0.49
Bruno,Caboclo,SF,1,0,1,0,0,0,0,0,0,0,0,0,0,-42.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
C.J.,McCollum,SG,30,30,35.1,20.1,0.5,2.9,3.4,4,1.23,0.27,2.2,2.4,1.8,17.9,7.6,17.5,0.436,2.4,6.1,0.401,2.4,2.8,0.87,5.2,11.4,0.455,1.149,0.51
C.J.,Miles,SF,25,20,28,14.9,0.5,2.5,3,1.2,0.96,0.44,1.2,2.5,1,16.6,5,11.5,0.432,2.9,7.2,0.402,2.1,2.7,0.78,2.1,4.3,0.481,1.3,0.56
C.J.,Watson,PG,8,0,19.5,4.8,0.5,1.5,2,3.1,1,0,0.8,1.3,4.2,11.8,1.8,4.8,0.368,0.6,2,0.313,0.6,0.9,0.71,1.2,2.8,0.409,1,0.43
C.J.,Wilcox,SG,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,Bairstow,PF,4,0,4.5,1.5,0.5,1,1.5,0,0,0,0,1,0,4,0.8,2.3,0.333,0,0.5,0,0,0,0,0.8,1.8,0.429,0.667,0.33
Cameron,Payne,PG,14,0,4.6,2,0,0.9,0.9,0.9,0.43,0.07,0.4,0.4,2.2,17.2,0.9,2.1,0.414,0.3,0.9,0.333,0,0,0,0.6,1.2,0.471,0.966,0.48
Carl,Landry,PF,1,0,13,10,2,3,5,1,1,1,1,1,1,33.2,2,6,0.333,0,0,0,6,8,0.75,2,6,0.333,1.667,0.33
Carmelo,Anthony,SF,28,28,34.2,21.8,1.3,6,7.3,3.6,0.96,0.54,2.7,2.5,1.3,20.4,7.6,18,0.421,1.6,4.5,0.346,5,6,0.84,6,13.5,0.447,1.211,0.47
Caron,Butler,SF,9,1,9.6,2.7,0.3,0.9,1.2,0.3,0.56,0,0.2,0.8,1.5,8.7,1.2,2.9,0.423,0.1,0.9,0.125,0.1,0.2,0.5,1.1,2,0.556,0.923,0.44
Chandler,Parsons,SF,22,13,22.5,8.7,0.3,2.8,3.1,1.8,0.32,0.41,1.3,1.6,1.4,11.1,3.5,7.8,0.448,1,2.9,0.333,0.8,1.4,0.55,2.5,4.9,0.514,1.116,0.51
Channing,Frye,PF,24,17,17.9,6.2,0.5,2.5,3,1,0.67,0.29,0.8,1.6,1.3,14.2,2.1,4.5,0.467,1.5,3.3,0.462,0.5,0.5,0.92,0.6,1.2,0.483,1.383,0.64
Charlie,Villanueva,PF,26,1,12.1,6.5,0.3,2.3,2.7,0.5,0.31,0.31,0.5,1.3,0.9,15.2,2.7,6.2,0.426,0.9,3.4,0.273,0.3,0.3,0.89,1.8,2.8,0.608,1.049,0.5
Chase,Budinger,SF,28,2,16.1,4.7,0.6,1.7,2.3,1.1,0.36,0.21,0.6,0.9,1.7,10,1.6,4.3,0.383,0.6,1.8,0.34,0.8,1.1,0.71,1,2.5,0.414,1.092,0.45
Chris,Andersen,PF,3,0,5.7,2,0.3,1.3,1.7,0.3,0,0,0.7,0.3,0.5,15.8,0.7,0.7,1,0.3,0.3,1,0.3,0.7,0.5,0.4,0.4,1,3,1.25
Chris,Bosh,PF,27,27,32.7,17.6,0.9,7.1,7.9,2.2,0.74,0.89,1.4,1.5,1.6,21.3,6,13.2,0.455,1.5,4.1,0.373,4,4.9,0.83,4.5,9.1,0.492,1.331,0.51
Chris,Copeland,SF,18,1,7.5,2.2,0.1,0.4,0.5,0.6,0.11,0,0.3,0.8,2,4.6,0.8,2.4,0.326,0.4,1.6,0.25,0.2,0.3,0.8,0.4,0.8,0.467,0.907,0.41
Chris,Johnson,SF,18,0,5.2,1.4,0.2,0.5,0.7,0.3,0.11,0.17,0.2,0.6,1.3,7.4,0.5,1.4,0.346,0.3,0.7,0.417,0.1,0.2,0.5,0.2,0.7,0.286,0.962,0.44
Chris,Kaman,C,3,2,15.7,3.3,0.7,2,2.7,1.3,0,0,1,1.7,1.3,1.7,1.7,5,0.333,0,0,0,0,0,0,1.7,5,0.333,0.667,0.33
Chris,Paul,PG,24,24,32.2,17.5,0.4,2.8,3.3,9,2.04,0,2.7,2.7,3.3,23.4,6.1,13.5,0.452,1.4,3.7,0.375,3.8,4.3,0.89,4.7,9.8,0.481,1.289,0.5
Christian,Wood,PF,14,0,8.1,3.6,0.7,1.6,2.3,0.2,0.36,0.36,0.1,0.6,1.5,19.5,1.4,3.1,0.442,0.3,0.6,0.444,0.6,0.9,0.69,1.1,2.5,0.441,1.186,0.49
Chuck,Hayes,PF,2,0,12,2,0,4,4,1,0,0,1.5,3,0.7,1.7,0.5,1,0.5,0,0,0,1,1,1,0.5,1,0.5,2,0.5
Cleanthony,Early,SF,8,0,4.1,0.9,0,0.3,0.3,0.1,0.13,0.13,0.1,0.4,1,7.4,0.4,0.8,0.5,0.1,0.5,0.25,0,0,0,0.3,0.3,1,1.167,0.58
Cliff,Alexander,PF,7,0,4.4,1.4,0.3,0.6,0.9,0,0.14,0.29,0.1,0,0,14.8,0.7,1.4,0.5,0,0,0,0,0,0,0.7,1.4,0.5,1,0.5
Clint,Capela,PF,29,18,20.1,7.9,2.8,4.3,7.1,0.7,0.97,1.24,1,2.3,0.7,21.1,3.4,5.6,0.611,0,0,0,1.1,2.6,0.43,3.4,5.6,0.611,1.42,0.61
Cody,Zeller,C,26,13,22.8,8.2,1.7,3.5,5.1,1,0.88,0.54,0.8,2.9,1.2,14.9,2.9,6,0.49,0,0.3,0,2.3,3.3,0.71,2.9,5.7,0.521,1.368,0.49
Cole,Aldrich,C,7,0,5.3,1.7,0.4,1.7,2.1,0.1,0.43,0.29,0.6,0.4,0.3,18.6,0.7,1,0.714,0,0,0,0.3,0.6,0.5,0.7,1,0.714,1.714,0.71
Corey,Brewer,SG,30,1,20.9,7.1,0.5,2.1,2.5,1.6,1.17,0.17,1,2.2,1.6,9.3,2.4,7.1,0.34,0.8,3.1,0.272,1.4,1.8,0.78,1.6,4,0.392,1,0.4
Cory,Jefferson,PF,5,0,4,1.6,0.2,1,1.2,0,0,0.2,0,0.8,0,10.8,0.8,1.6,0.5,0,0,0,0,0.4,0,0.8,1.6,0.5,1,0.5
Cory,Joseph,PG,30,0,26.9,9,0.6,2.1,2.6,2.9,0.97,0.37,1.3,1.7,2.2,13.7,3.2,7.1,0.458,0.4,1.4,0.293,2.1,2.8,0.75,2.8,5.7,0.497,1.269,0.49
Courtney,Lee,SG,31,17,29.2,9.9,0.4,2.3,2.6,1.5,1.13,0.26,1,1.5,1.5,11.2,3.8,8.9,0.433,0.8,2.6,0.313,1.4,1.5,0.92,3,6.3,0.482,1.116,0.48
Cristiano,Felicio,PF,2,0,2,1,0,0,0,0.5,0,0,0,0,0,30.2,0.5,0.5,1,0,0,0,0,0,0,0.5,0.5,1,2,1
D.J.,Augustin,PG,29,0,16.1,4.6,0.2,1,1.2,2,0.41,0.07,0.9,1.1,2.1,9.7,1.5,3.8,0.387,0.8,1.9,0.393,0.9,1.2,0.76,0.7,1.9,0.382,1.207,0.49
D'Angelo,Russell,PG,29,22,28.1,11.9,0.8,3.4,4.2,3.4,1.1,0.14,2.2,1.7,1.5,12.7,4.7,11.8,0.396,1.6,4.9,0.324,0.9,1.3,0.71,3.1,6.9,0.448,1.006,0.46
Damian,Lillard,PG,29,29,36.5,24.6,0.7,3.8,4.5,6.8,0.9,0.28,3.5,2.6,1.9,21.4,8.4,20,0.418,2.8,7.8,0.364,5,5.6,0.88,5.6,12.2,0.452,1.225,0.49
Damien,Inglis,SF,7,0,5.6,1.1,0.1,1,1.1,0.3,0.29,0,0.6,0.7,0.5,2.6,0.3,1.1,0.25,0.1,0.7,0.2,0.4,0.6,0.75,0.2,0.4,0.333,1,0.31
Damjan,Rudez,SF,14,0,8.6,2.6,0.1,0.4,0.5,0.4,0,0,0.4,0.9,0.8,8.4,0.9,1.6,0.522,0.6,1.4,0.474,0.3,0.3,1,0.3,0.2,0.75,1.609,0.72
Danilo,Gallinari,SF,27,27,34.1,17.3,1.2,4.7,5.9,2.8,0.56,0.52,1.2,1.7,2.3,18.5,4.8,12.4,0.389,1.6,4.4,0.37,6,6.7,0.9,3.2,8,0.4,1.398,0.46
Danny,Green,SG,30,30,26.1,7.1,0.6,3.5,4,1.8,0.7,0.57,1.3,1.5,1.4,8.5,2.6,7.4,0.35,1.4,4.5,0.309,0.5,0.6,0.82,1.2,2.9,0.414,0.951,0.44
Dante,Cunningham,PF,28,5,20.2,4.4,0.7,2.9,3.6,0.6,0.43,0.32,0.4,2,1.5,8.7,1.8,3.8,0.467,0.5,1.4,0.375,0.4,0.6,0.63,1.3,2.4,0.523,1.171,0.54
Darrell,Arthur,PF,26,6,19.5,7,1.2,2.4,3.6,0.9,0.85,0.81,0.7,2.5,1.3,13.3,3.2,6.8,0.461,0.4,0.9,0.458,0.2,0.4,0.6,2.8,5.9,0.461,1.017,0.49
Darren,Collison,PG,24,3,28.9,13.6,0.4,1.5,1.9,4.3,0.83,0.04,1.9,1.9,2.3,15.5,5,10.7,0.467,1.2,3.2,0.364,2.4,2.8,0.85,3.8,7.5,0.511,1.268,0.52
Darrun,Hilliard,SF,8,0,6.3,2.6,0.4,0.4,0.8,0.1,0,0,0.4,0.3,0.3,1.6,0.9,3.5,0.25,0.4,1.3,0.3,0.5,0.8,0.67,0.5,2.2,0.222,0.75,0.3
David,Lee,PF,27,4,15.9,7.4,1.4,2.9,4.4,1.9,0.37,0.41,1.4,1.9,1.4,16.9,3,6.3,0.476,0,0,0,1.4,1.8,0.8,3,6.3,0.476,1.182,0.48
David,West,PF,30,3,15.5,5.8,0.8,3.1,3.9,1.5,0.53,0.47,1.1,1.8,1.4,15.9,2.5,4.6,0.547,0,0.1,0.5,0.7,1.1,0.67,2.5,4.5,0.548,1.263,0.55
DeAndre,Jordan,C,29,29,32.6,11,3.7,9.4,13.1,0.8,0.59,2.41,1.1,3.1,0.7,19.5,4,5.6,0.706,0,0,0,3.1,8,0.39,4,5.6,0.706,1.963,0.71
DeJuan,Blair,C,16,0,8.9,2.2,1.1,1.4,2.4,0.4,0.38,0.06,0.8,2.3,0.6,4,0.9,2.6,0.357,0,0.1,0,0.3,0.7,0.45,0.9,2.5,0.366,0.833,0.36
Delon,Wright,PG,5,0,3.4,0,0.2,0.8,1,0.2,0,0,0.2,0.2,1,-11.5,0,1.2,0,0,0.2,0,0,0,0,0,1,0,0,0
DeMar,DeRozan,SG,30,30,36.7,22.7,0.7,3.7,4.4,4,1,0.33,2.5,2,1.6,20.8,7.6,17.1,0.446,0.4,1.5,0.25,7.1,8.4,0.84,7.2,15.6,0.464,1.327,0.46
DeMarcus,Cousins,PF,21,21,33.2,24.5,2.4,8.4,10.8,2.8,1.19,1.43,3.3,3.7,0.8,22.1,8.2,19.6,0.417,1.1,3.7,0.308,7,9.4,0.74,7.1,15.9,0.443,1.25,0.45
DeMarre,Carroll,SF,18,18,34.2,12.2,1.2,3.8,5.1,1.3,1.89,0.22,1.4,2.8,0.9,11.5,4.5,11.7,0.386,1.8,4.8,0.368,1.4,2.3,0.63,2.7,6.9,0.398,1.048,0.46
Dennis,Schroder,PG,31,6,21.8,10.8,0.4,2.1,2.5,4.4,1.06,0.1,1.9,1.6,2.3,16.4,4.1,9.8,0.413,1,3.3,0.317,1.6,2,0.79,3.1,6.5,0.461,1.095,0.47
Deron,Williams,PG,26,26,32.7,14.8,0.3,3,3.3,5.8,1.15,0.23,2.3,2.3,2.5,16.3,5.2,12.3,0.419,1.5,4.3,0.357,2.9,3.2,0.93,3.7,8,0.452,1.2,0.48
Derrick,Favors,PF,26,26,32.6,16.8,3.2,5.4,8.6,1.5,1.46,1.15,1.5,2.4,1.1,23.8,6.9,13.2,0.523,0,0,0,3.1,4.4,0.7,6.9,13.2,0.525,1.281,0.52
Derrick,Rose,PG,24,24,32.9,13.5,0.4,3,3.3,5.4,0.71,0.29,2.6,1.4,2.1,9.8,5.6,15,0.372,0.5,2.4,0.224,1.8,2.5,0.7,5.1,12.6,0.401,0.9,0.39
Derrick,Williams,PF,29,0,13.6,7.3,0.4,2,2.4,0.8,0.38,0.21,0.6,1,1.4,17.5,2.3,5.7,0.412,0.5,1.7,0.28,2.2,3,0.73,1.8,4,0.47,1.291,0.45
Devin,Booker,SG,25,2,14.1,5.4,0.1,1,1.1,0.8,0.44,0.16,0.6,1.5,1.3,11.9,2,4.1,0.48,0.7,1.2,0.567,0.8,1,0.84,1.3,2.9,0.444,1.333,0.56
Devin,Harris,PG,24,0,20.8,7.7,0.3,1.8,2.2,1.8,1.08,0.29,1,2.2,1.8,13.3,2.8,5.9,0.465,0.5,2,0.265,1.7,2.5,0.66,2.3,3.9,0.57,1.303,0.51
Devyn,Marble,SF,5,0,2.4,0.4,0,0.2,0.2,0,0.2,0,0.2,0.4,0,-10.2,0.2,1,0.2,0,0.4,0,0,0.2,0,0.2,0.6,0.333,0.4,0.2
Dewayne,Dedmon,C,17,4,14.2,4,1.1,2.9,4.1,0.1,0.53,1.18,0.6,2.8,0.2,13,1.4,2.9,0.48,0,0,0,1.2,1.7,0.69,1.4,2.9,0.48,1.36,0.48
Dion,Waiters,SG,29,2,27.7,10.4,0.6,2.7,3.3,1.9,0.93,0.1,1.6,2,1.2,10.5,3.9,9.7,0.402,1,2.9,0.333,1.7,2.1,0.8,2.9,6.8,0.431,1.075,0.45
Dirk,Nowitzki,PF,28,28,30.1,17.5,0.8,6.1,7,1.9,0.61,0.71,1,1.8,1.9,21.7,6.5,13.4,0.483,1.6,3.9,0.404,3,3.3,0.9,4.9,9.5,0.515,1.307,0.54
Donald,Sloan,PG,11,0,11.1,2.6,0.4,1.4,1.7,2.3,0.36,0,0.8,0.6,2.8,11.1,1.2,2.9,0.406,0,0.2,0,0.3,0.3,1,1.2,2.7,0.433,0.906,0.41
Donatas,Motiejunas,PF,10,1,14.2,6.2,0.5,1.8,2.3,1.2,0.5,0.1,2.2,2.2,0.5,8.6,2.4,4.9,0.49,0.5,1.3,0.385,0.9,1.4,0.64,1.9,3.6,0.528,1.265,0.54
Doug,McDermott,SF,26,4,21.9,9,0.5,1.8,2.3,0.7,0.08,0.08,0.7,1.3,1.1,10.8,3.5,7.9,0.449,1.5,3.6,0.43,0.3,0.4,0.82,2,4.3,0.464,1.137,0.55
Draymond,Green,PF,28,28,34.9,14.3,1.7,7.1,8.8,7.1,1.29,1.46,2.9,3.1,2.5,19.1,5.1,11.2,0.46,1.4,3.7,0.379,2.6,3.6,0.72,3.7,7.5,0.5,1.278,0.52
Drew,Gooden,PF,6,0,12.8,2.7,1.8,2.7,4.5,0.5,0.5,0.67,0.5,1,1,9.6,1,4.2,0.24,0.3,1.7,0.2,0.3,0.3,1,0.7,2.5,0.267,0.64,0.28
Dwight,Howard,C,24,24,31.8,12.9,3.8,7.7,11.5,1.5,0.96,1.79,2.7,3.6,0.6,18.4,4.9,8.4,0.587,0,0,0,3.1,6.1,0.51,4.9,8.4,0.59,1.542,0.59
Dwight,Powell,PF,28,0,18.4,7.9,1.5,4.2,5.7,0.8,0.57,0.57,0.8,2.4,1.1,18.6,3,5.7,0.522,0,0.2,0,2,2.8,0.71,3,5.5,0.539,1.39,0.52
Dwyane,Wade,SG,26,26,29.7,18.5,1,2.8,3.9,4.4,1,0.5,2.4,1.4,1.8,21.1,7.4,16.3,0.456,0.3,1,0.269,3.4,4.3,0.79,7.1,15.3,0.469,1.137,0.46
E'Twaun,Moore,SG,22,0,15.6,4.6,0.2,1.4,1.5,0.9,0.5,0.14,0.6,1.1,1.4,8.9,2,4.3,0.457,0.4,1,0.429,0.3,0.6,0.54,1.6,3.3,0.466,1.085,0.51
Ed,Davis,C,31,0,22,6.9,3,4.6,7.6,1.1,0.65,0.74,0.9,2.7,1.3,18.4,2.8,4.5,0.614,0,0,0,1.4,2.7,0.5,2.8,4.5,0.614,1.529,0.61
Elfrid,Payton,PG,29,29,31,11.9,1.1,2.8,3.9,6.2,1.59,0.24,2.3,2.2,2.7,15.2,4.7,11.3,0.416,0.3,1.1,0.303,2.1,3.3,0.65,4.4,10.2,0.429,1.052,0.43
Elijah,Millsap,SG,16,0,8.6,1.8,0.3,1.5,1.8,1,0.31,0.06,0.4,1.8,2.3,5.4,0.5,2,0.25,0.1,0.7,0.091,0.7,1,0.69,0.4,1.3,0.333,0.875,0.27
